applicable_record_count,bootstrap_ci95_high,bootstrap_ci95_low,cohort,comparison,draws,loss_count,median_difference,metric,paired_mean_difference,standardized_mean_effect,statistical_status,tie_count,win_count
0,,,radical_open_shell,V8_FULL_12P5K-minus-RAW,10000,0,,clash_delta,,,NOT_APPLICABLE,0,0
0,,,radical_open_shell,V8_FULL_12P5K-minus-RAW,10000,0,,chirality_preserved,,,NOT_APPLICABLE,0,0
0,,,radical_open_shell,V8_FULL_12P5K-minus-RAW,10000,0,,mean_displacement,,,NOT_APPLICABLE,0,0
0,,,radical_open_shell,V8_FULL_12P5K-minus-RAW,10000,0,,max_atom_displacement,,,NOT_APPLICABLE,0,0
0,,,radical_open_shell,V8_FULL_12P5K-minus-RAW,10000,0,,rmsd,,,NOT_APPLICABLE,0,0
0,,,radical_open_shell,V8_FULL_12P5K-minus-RAW,10000,0,,target_loss,,,NOT_APPLICABLE,0,0
10000,-0.0063,-0.0115,natural,V8_FULL_12P5K-minus-MMFF94S,10000,134,0.0,accepted,-0.0089,-0.06666606395029517,SIGNIFICANT_V8_FULL_12P5K_WORSE,9821,45
10000,-0.2535808305872954,-0.26137465876904564,natural,V8_FULL_12P5K-minus-MMFF94S,10000,451,-0.2447609425871633,weighted_bac_delta,-0.25746558137618075,-1.277968576842753,SIGNIFICANT_V8_FULL_12P5K_BETTER,28,9521
10000,-0.12552979760371383,-0.1286935639475705,natural,V8_FULL_12P5K-minus-MMFF94S,10000,377,-0.1272727232426405,bond_delta,-0.1270917059250176,-1.5663420540229647,SIGNIFICANT_V8_FULL_12P5K_BETTER,332,9291
10000,-0.008724082723929313,-0.009441264464615377,natural,V8_FULL_12P5K-minus-MMFF94S,10000,972,0.0,angle_delta,-0.009081933172186836,-0.5035036450262093,SIGNIFICANT_V8_FULL_12P5K_BETTER,4171,4857
