variant,seed,partition,molecule_id,reference_objective,reference_bond_objective,reference_angle_objective,reference_gradient_rms,reference_projected_movement,reference_projected_objective,source_objective,source_bond_objective,source_angle_objective,source_gradient_rms,source_projected_movement,source_projected_objective,source_minus_reference_objective
B,173,dev_a,COc1ccc(CNC(=O)CN(c2cc(C)cc(C)c2)S(=O)(=O)c2c(C)noc2C)cc1,-2.712011989594031,-3.3071185018421194,-2.116905477345943,0.6209373929104818,0.0009999999999999879,-2.743805554234486,-2.6863731100144195,-3.083370217652098,-2.2893760023767404,1.0854627872401859,0.0009999999999999855,-2.745273867799648,0.02563887957961164
B,173,dev_a,COC(=O)c1cc(OC)c(OC)cc1NC(=O)CSc1ccccc1,-2.7265855977584446,-3.2071069962032817,-2.2460641993136075,1.1793935597827756,0.0009999999999999942,-2.77268531426277,-2.379180282161988,-3.0493979114709595,-1.7089626528530164,1.7080959542296694,0.0010000000000000202,-2.4483869171625856,0.3474053155964567
B,173,dev_a,CCOC(=O)c1sc(NC(=O)CCC(=O)O)nc1C,-2.7036182216892595,-3.110247243634513,-2.296989199744006,0.8315080736428923,0.0010000000000000367,-2.72741504024956,-2.598421772731763,-2.8498530652294685,-2.346990480234058,1.841024068705651,0.0010000000000000148,-2.6537147661488154,0.10519644895749636
B,173,dev_a,CC(_C=C1\SC(=S)N(c2ccc(C(=O)O)cc2)C1=O)=C\c1ccccc1,-2.919834936222937,-3.386447804104615,-2.453222068341259,0.6721993062985674,0.0010000000000000198,-2.942510619983665,-2.7202115175016655,-3.2084905899139518,-2.2319324450893787,1.3868933634152913,0.0010000000000000159,-2.770533920531734,0.19962341872127176
B,173,dev_a,CC(C(=O)NCC1CCCCC1)N1CCN(S(=O)(=O)_C=C_c2ccccc2)CC1,-2.942412108295307,-3.447488680789452,-2.437335535801162,0.4208230208652556,0.0010000000000000037,-2.9639550283920775,-2.5237451789754424,-2.994206644515775,-2.05328371343511,1.3680367470924681,0.0010000000000000293,-2.6026495294393586,0.4186669293198646
B,173,dev_a,Cc1c(Cc2ccc3c(c2)OCO3)sc(NC(=O)c2cccc3ccccc23)c1C(N)=O,-2.7759977267340634,-3.20922274234389,-2.3427727111242365,1.1450950353244778,0.000999999999999999,-2.8288045751193804,-2.410102550910729,-2.614631525453088,-2.20557357636837,2.094623069319802,0.0010000000000000059,-2.5123247170158294,0.36589517582333464
B,173,dev_a,COc1ccccc1N(C(=O)c1snc(C(N)=O)c1N)C(C(=O)NCc1ccccc1)c1ccc(O)cc1,-2.7267630904137583,-3.229861861552772,-2.223664319274745,0.5783462580568964,0.0010000000000000002,-2.7595881093088765,-2.3960184942360825,-2.6327953262561885,-2.1592416622159765,1.5569599638792462,0.001,-2.487858922712373,0.3307445961776758
B,173,dev_a,O=[N+]([O-])C(Br)(CO)CO,-2.2524525158780975,-2.46730252313111,-2.0376025086250853,6.227419075277433,0.001000000000000015,-2.340500086223426,-2.1442835917397685,-2.654996467516361,-1.6335707159631763,5.185585152302697,0.00099999999999997,-2.2168717292457534,0.10816892413832901
B,173,dev_a,COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1,-2.4655544443419304,-3.0609928394356336,-1.870116049248227,1.6295926633557622,0.0010000000000000143,-2.5339339694973746,-2.3883899293175754,-2.899346555059079,-1.877433303576072,1.898990995484307,0.0009999999999999749,-2.4692600626006787,0.07716451502435495
B,173,dev_a,CC(C)CC(NS(=O)(=O)c1ccc2c(c1)oc(=O)n2C)C(=O)N1CC=C(c2ccccc2)CC1,-2.849459064400705,-3.3707215587804837,-2.3281965700209266,0.46382491974608736,0.0009999999999999844,-2.8736606504984428,-2.327341830042787,-2.5391782318590184,-2.115505428226556,1.7021968540966272,0.0009999999999999883,-2.428402141156857,0.5221172343579181
