section,entity,metric,value,authoritative_source
CURRENT_FINAL,MMFF94s,kabsch_source_rmsd,0.8624400291009988,reports/ecir_mvr/final_evidence_closure/03_MMFF_FINAL_RESULTS.csv
CURRENT_FINAL,MMFF94s,reference_rmsd,1.450865842991124,reports/ecir_mvr/final_evidence_closure/03_MMFF_FINAL_RESULTS.csv
CURRENT_FINAL,MMFF94s,xtb_delta_median,2.242690448645303,reports/ecir_mvr/final_evidence_closure/03_MMFF_FINAL_RESULTS.csv
CURRENT_FINAL,MMFF94s,xtb_delta_lower_fraction,0.2754,reports/ecir_mvr/final_evidence_closure/03_MMFF_FINAL_RESULTS.csv
CURRENT_FINAL,MMFF94s,finite_coordinate_rate,1.0,reports/ecir_mvr/final_evidence_closure/03_MMFF_FINAL_RESULTS.csv
CURRENT_FINAL,MMFF94s,mmff_optimization_success_rate,0.9954,reports/ecir_mvr/final_evidence_closure/03_MMFF_FINAL_RESULTS.csv
CURRENT_FINAL,reference_context,records,5000.0,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
CURRENT_FINAL,reference_context,molecules,2500.0,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
CURRENT_FINAL,reference_context,v3d_overall,0.0156,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
CURRENT_FINAL,reference_context,posebusters_overall,0.8876,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
CURRENT_FINAL,reference_context,bond_raw_mae,0.0,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
CURRENT_FINAL,reference_context,angle_cosine_raw_mae,0.0,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
CURRENT_FINAL,reference_context,kabsch_source_rmsd,2.3803525008960773,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
CURRENT_FINAL,reference_context,reference_rmsd,1.5977511601760601e-15,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
CURRENT_FINAL,reference_context,xtb_delta_median,36.93506737621117,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
CURRENT_FINAL,reference_context,finite_coordinate_rate,1.0,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
REFERENCE,source,records,5000.0,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,source,v3d,0.2226,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,source,pb,0.9314,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,source,source_rmsd,1.8840420015446218e-15,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,source,reference_rmsd,1.4232389687961942,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,source,bond_raw_mae,0.0268122347641244,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,source,angle_cosine_raw_mae,0.0480026646318544,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed307,records,5000.0,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed307,v3d,0.5036,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed307,pb,0.9318,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed307,source_rmsd,0.0094559057883918,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed307,reference_rmsd,1.4238343144817236,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed307,bond_raw_mae,0.023253363253394,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed307,angle_cosine_raw_mae,0.0466574994612898,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed331,records,5000.0,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed331,v3d,0.5002,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed331,pb,0.9324,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed331,source_rmsd,0.0099615075867623,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed331,reference_rmsd,1.4237909677373073,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed331,bond_raw_mae,0.0232414691240598,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed331,angle_cosine_raw_mae,0.0465332113668444,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed353,records,5000.0,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed353,v3d,0.5058,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed353,pb,0.9322,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed353,source_rmsd,0.0097858248868957,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed353,reference_rmsd,1.423564719834739,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed353,bond_raw_mae,0.0235789685859347,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,unrestricted_seed353,angle_cosine_raw_mae,0.0464028572546748,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,mmff94s,records,5000.0,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,mmff94s,v3d,0.609,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,mmff94s,pb,0.9546,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,mmff94s,source_rmsd,0.8624400291009988,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,mmff94s,reference_rmsd,1.450865842991124,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,mmff94s,bond_raw_mae,0.0229690384641255,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,mmff94s,angle_cosine_raw_mae,0.0457456607286448,reports/ecir_mvr/final_evidence_closure/10_REFERENCE_FIDELITY_METRICS.csv
REFERENCE,reference_context,records,5000.0,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
REFERENCE,reference_context,v3d,0.0156,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
REFERENCE,reference_context,pb,0.8876,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
REFERENCE,reference_context,source_rmsd,2.3803525008960773,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
REFERENCE,reference_context,reference_rmsd,1.5977511601760601e-15,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
REFERENCE,reference_context,bond_raw_mae,0.0,reports/ecir_mvr/final_evidence_closure/09_REFERENCE_CONTEXTUAL_METRICS.csv
