record_id,molecule_id,seed,tau,source_rmsd_raw,max_atom_displacement,finite,w_B,w_A,reference_rmsd_angstrom,source_rmsd_angstrom,proposal_v3d,raw_v3d,proposal_pb,sanitization,all_atoms_connected,raw_pb,proposal_xtb_hartree,raw_xtb_hartree,delta_e_kcal_mol,matched_success,num_atoms,seed_concentration,topology_validity,raw_displacement_rms,kabsch_source_rmsd
ditmc-test-small:s00001:r001289:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.07689657062292099,0.07689657062292099,0.24731932912417942,True,0.4712643027305603,0.5287356376647949,2.287221553284498,0.07689657062292099,False,False,False,True,False,False,-19.912833290511,177.297978336862,-123751.65267140591,True,41,False,False,0.07689657062292099,0.07689657062292099
ditmc-test-small:s00000:r001899:repeat0,ditmc-mol:05bf880b3aae355576bc9b8b,331,0.07383352518081665,0.07383352518081665,0.30467672961800446,True,0.4790289103984833,0.5209710597991943,1.5368493875368603,0.07383352518081665,False,False,True,True,True,True,-58.128513936908,-56.805948135811,-829.9225701767666,True,35,False,True,0.07383352518081665,0.07383352518081665
ditmc-test-small:s00000:r003260:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.07378348708152771,0.07378348708152771,0.1592746702661303,True,0.4712643027305603,0.5287356376647949,3.2731487832160515,0.07378348708152771,False,False,False,True,False,False,,,,False,41,False,False,0.07378348708152771,0.07378348708152771
ditmc-test-small:s00001:r001433:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.07376502454280853,0.07376502454280855,0.13588336058161912,True,0.4712643027305603,0.5287356376647949,2.4884023767548777,0.07376502454280855,False,False,False,True,False,False,,,,False,41,False,False,0.07376502454280855,0.07376502454280855
ditmc-test-small:s00001:r000466:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.0727628543972969,0.07276285439729688,0.16274408256616546,True,0.4712643027305603,0.5287356376647949,2.6331339028058256,0.07276285439729688,False,False,False,True,False,False,,,,False,41,False,False,0.07276285439729688,0.07276285439729688
ditmc-test-small:s00001:r001340:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.07190848141908646,0.07190848141908646,0.1611131892453467,True,0.4712643027305603,0.5287356376647949,2.5619926369034074,0.07190848141908646,False,False,False,True,False,False,,,,False,41,False,False,0.07190848141908646,0.07190848141908646
ditmc-test-small:s00001:r000832:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.06950106471776962,0.06950106471776964,0.16402600937920706,True,0.4712643027305603,0.5287356376647949,2.8556728528231203,0.06950106471776964,False,False,False,True,False,False,,,,False,41,False,False,0.06950106471776964,0.06950106471776964
ditmc-test-small:s00001:r000738:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.06873198598623276,0.06873198598623273,0.1342806627061886,True,0.4712643027305603,0.5287356376647949,2.7511459462570955,0.06873198598623273,False,False,False,True,False,False,,-5.10354841885,,False,41,False,False,0.06873198598623273,0.06873198598623273
ditmc-test-small:s00000:r001335:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.06851795315742493,0.06851795315742494,0.13698159847689298,True,0.4712643027305603,0.5287356376647949,2.7774949511566054,0.06851795315742494,False,False,False,True,False,False,,,,False,41,False,False,0.06851795315742494,0.06851795315742494
ditmc-test-small:s00000:r000439:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.06815987080335617,0.06815987080335618,0.19492825355461696,True,0.4712643027305603,0.5287356376647949,3.1152966760028153,0.06815987080335618,False,False,False,True,False,False,,,,False,41,False,False,0.06815987080335618,0.06815987080335618
ditmc-test-small:s00000:r002606:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.06692027300596237,0.06692027300596236,0.1698554472426381,True,0.4712643027305603,0.5287356376647949,2.4673607399376647,0.06692027300596236,False,False,False,True,False,False,-9.600506837571,45.816073245989,-34774.42901911361,True,41,False,False,0.06692027300596236,0.06692027300596236
ditmc-test-small:s00000:r003251:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.0667303204536438,0.06673032045364378,0.1291378365883969,True,0.4712643027305603,0.5287356376647949,2.4378737840534495,0.06673032045364378,False,False,False,True,False,False,,,,False,41,False,False,0.06673032045364378,0.06673032045364378
ditmc-test-small:s00000:r001754:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.06632906198501587,0.06632906198501587,0.16767078058270113,True,0.4712643027305603,0.5287356376647949,2.5060535244952904,0.06632906198501587,False,False,False,True,False,False,,,,False,41,False,False,0.06632906198501587,0.06632906198501587
ditmc-test-small:s00001:r000243:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.06621725112199783,0.06621725112199782,0.1321943596475493,True,0.4712643027305603,0.5287356376647949,3.0291673128720378,0.06621725112199782,False,False,False,True,False,False,,,,False,41,False,False,0.06621725112199782,0.06621725112199782
ditmc-test-small:s00001:r000243:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.06601594388484955,0.06601594388484956,0.19260487397233436,True,0.4712643027305603,0.5287356376647949,3.0572441743557306,0.06601594388484956,False,False,False,True,False,False,,,,False,41,False,False,0.06601594388484956,0.06601594388484956
ditmc-test-small:s00000:r000560:repeat1,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.0651724562048912,0.06517245620489122,0.16087788071473078,True,0.4712643027305603,0.5287356376647949,2.910966973983865,0.06517245620489122,False,False,False,True,False,False,,30.402117604983,,False,41,False,False,0.06517245620489122,0.06517245620489122
ditmc-test-small:s00001:r001289:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.06513001024723053,0.06513001024723053,0.12572004761097255,True,0.4712643027305603,0.5287356376647949,2.335260625967592,0.06513001024723053,False,False,False,True,False,False,,,,False,41,False,False,0.06513001024723053,0.06513001024723053
ditmc-test-small:s00001:r000203:repeat0,ditmc-mol:f6e3ede6ad77b83f3733c9b6,331,0.06447184085845947,0.06447184085845947,0.12062448858569876,True,0.4712643027305603,0.5287356376647949,2.818619549360735,0.06447184085845947,False,False,False,True,False,False,,,,False,41,False,False,0.06447184085845947,0.06447184085845947
