comparison,metric,effect_definition,higher_is_better,finite_records,finite_molecules,mean_paired_effect,ci95_low,ci95_high,median_molecule_effect,effect_p05,effect_p25,effect_p50,effect_p75,effect_p95,wins,ties,losses,cluster_unit,records_per_primary_molecule,bootstrap_resamples
source_to_unrestricted_seed307,validity3d,candidate_minus_baseline,True,5000,2500,0.281,0.2658,0.2964,0.0,0.0,0.0,0.0,0.5,1.0,1134,1282,84,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed353,PB,candidate_minus_baseline,True,5000,2500,0.0004,-0.0004,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,3,2496,1,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed353,reference_rmsd,candidate_minus_baseline,False,5000,2500,0.00032575103854464463,0.00030882077690678106,0.00034506872785511686,0.00028867229067663924,-0.00017093217243171512,9.511037991791205e-05,0.00028867229067663924,0.0005073813737247468,0.0008802626824309148,381,0,2119,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed353,reference_rmsd,candidate_minus_baseline,False,5000,2500,-2.8476242377468824e-05,-3.887178437910774e-05,-1.5663797154764252e-05,-3.939159321713487e-05,-0.00024503306161537954,-0.00011449063760712863,-3.939159321713487e-05,2.8472572747961777e-05,0.00017251772034136405,1625,0,875,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed353,bond_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0032332661781896994,-0.0033021699968360076,-0.0031632737018321352,-0.0031242394706707437,-0.005957305100435035,-0.004152811154052999,-0.0031242394706707437,-0.0021437315483059474,-0.0008162191249056259,2465,0,35,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed353,bond_raw_mae,candidate_minus_baseline,False,5000,2500,-6.389008595286487e-05,-9.647572770294972e-05,-3.472809320800362e-05,-7.88443456350204e-06,-0.0009113498219569626,-0.00030410800924726006,-7.88443456350204e-06,0.00027897510319785726,0.0007479523761068886,1267,0,1233,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed353,angle_cosine_raw_mae,candidate_minus_baseline,False,5000,2500,-0.0015998073771795825,-0.001653539547353638,-0.0015439287884548682,-0.001575763965689531,-0.003941919069482242,-0.0025370331394655296,-0.001575763965689531,-0.0006763030519390369,0.000710412051421646,2201,0,299,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed353,angle_cosine_raw_mae,candidate_minus_baseline,False,5000,2500,-0.00021740818089821428,-0.00023609732392516582,-0.00019879011768110373,-0.0001986106296277962,-0.0009530867769363859,-0.00047501121921110674,-0.0001986106296277962,6.112805767197107e-05,0.00042717901296008507,1752,0,748,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed353,kabsch_source_rmsd,candidate_minus_baseline,False,5000,2500,0.009785824886893835,0.009681431170469603,0.009895680689986796,0.009248699294397505,0.007195598748511401,0.008281473245004663,0.009248699294397505,0.01050234993453855,0.013780771754680756,0,0,2500,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed353,kabsch_source_rmsd,candidate_minus_baseline,False,5000,2500,0.0017448194767589911,0.0016615697239867862,0.001837154863460009,0.0012461086735129864,0.00037374444073068916,0.0008040489046834164,0.0012461086735129864,0.0019422830082476304,0.0044776747569391035,14,0,2486,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
source_to_unrestricted_seed353,delta_e_kcal_mol,candidate_minus_baseline,False,5000,2500,-4.503821434250429,-7.024102982220598,-1.9357255090586516,-3.7110258178267057,-9.904574261778821,-5.256060632185281,-3.7110258178267057,-2.685548632871128,-1.719597444176389,2495,0,5,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
restricted_to_unrestricted_seed353,delta_e_kcal_mol,candidate_minus_baseline,False,5000,2500,-0.5026149599497342,-2.3616415220204137,1.1237070543077612,-0.13479260178079677,-1.1669450370004375,-0.3025497236580058,-0.13479260178079677,-0.05191464850685373,0.0390993999182871,2245,0,255,molecule,2 for current-primary; upstream-native multiplicity for cross-upstream,10000
